card_id,name,set,supertype,artist
bs-85-pok-mon-center,Pokémon Center,BS,Trainer,Keiji Kinebuchi
bs-86,Pokémon Flute,BS,Trainer,Keiji Kinebuchi
bs-86-pokemon-flute,Pokemon Flute,BS,,Keiji Kinebuchi
bs-87,Pokédex,BS,Trainer,Keiji Kinebuchi
bs-87-pokedex,Pokedex,BS,,Keiji Kinebuchi
bs-88,Professor Oak,BS,Trainer,Ken Sugimori
bs-89,Revive,BS,Trainer,Keiji Kinebuchi
bs-9,Magneton,BS,Pokémon,Keiji Kinebuchi
bs-90,Super Potion,BS,Trainer,Keiji Kinebuchi
bs-91,Bill,BS,Trainer,Ken Sugimori
bs-92,Energy Removal,BS,Trainer,Keiji Kinebuchi
bs-93,Gust of Wind,BS,Trainer,Keiji Kinebuchi
bs-94,Potion,BS,Trainer,Keiji Kinebuchi
bs-95,Switch,BS,Trainer,Keiji Kinebuchi
bs-96,Double Colorless Energy,BS,Energy,Keiji Kinebuchi
bs-97,Fighting Energy,BS,Energy,Keiji Kinebuchi
bs-98,Fire Energy,BS,Energy,Keiji Kinebuchi
bs-99,Grass Energy,BS,Energy,Keiji Kinebuchi
cel-1,Ho-Oh,CEL,Pokémon,Kouki Saitou
cel-10,Zekrom,CEL,Pokémon,Aya Kusube
cel-109,Luxray GL LV.X,CEL,Pokémon,Mitsuhiro Arita
cel-11,Mew,CEL,Pokémon,Yuu Nishida
cel-113,Reshiram,CEL,Pokémon,5ban Graphics
cel-114,Zekrom,CEL,Pokémon,5ban Graphics
cel-12,Xerneas,CEL,Pokémon,AKIRA EGAWA
cel-13,Cosmog,CEL,Pokémon,kirisAki
cel-14,Cosmoem,CEL,Pokémon,kirisAki
cel-15,Lunala,CEL,Pokémon,kirisAki
cel-15-claydol,Claydol,CEL,Pokémon,Midori Harada
cel-15-here-comes-team-rocket,Here Comes Team Rocket!,CEL,Trainer,Ken Sugimori
cel-15-rocket-s-zapdos,Rocket's Zapdos,CEL,Pokémon,Shin-ichi Yoshida
cel-15-venusaur,Venusaur,CEL,Pokémon,Mitsuhiro Arita
cel-16,Zacian V,CEL,Pokémon,Mitsuhiro Arita
cel-17,Groudon,CEL,Pokémon,Ryuta Fuse
cel-17-umbreon,Umbreon ★,CEL,Pokémon,Masakazu Fukuda
cel-18,Zamazenta V,CEL,Pokémon,Mitsuhiro Arita
cel-19,Yveltal,CEL,Pokémon,AKIRA EGAWA
cel-2,Reshiram,CEL,Pokémon,Aya Kusube
cel-2-blastoise,Blastoise,CEL,Pokémon,Ken Sugimori
cel-20,Dialga,CEL,Pokémon,5ban Graphics
cel-20-cleffa,Cleffa,CEL,Pokémon,Kagemaru Himeno
cel-21,Solgaleo,CEL,Pokémon,kirisAki
cel-22,Lugia,CEL,Pokémon,Kouki Saitou
cel-23,Professor's Research (Professor Oak),CEL,Trainer,KIYOTAKA OSHIYAMA
cel-24,Professor's Research (Professor Oak),CEL,Trainer,Ken Sugimori
cel-24-s-pikachu,_____'s Pikachu,CEL,Pokémon,Kagemaru Himeno
cel-25,Mew,CEL,Pokémon,Saki Hayashiro
cel-3,Kyogre,CEL,Pokémon,Ryuta Fuse
cel-4,Palkia,CEL,Pokémon,5ban Graphics
cel-4-charizard,Charizard,CEL,Pokémon,Mitsuhiro Arita
cel-5,Pikachu,CEL,Pokémon,Mitsuhiro Arita
cel-54,Mewtwo-EX,CEL,Pokémon,Shizurow
cel-6,Flying Pikachu V,CEL,Pokémon,aky CG Works
cel-60,Tapu Lele-GX,CEL,Pokémon,5ban Graphics
cel-66,Shining Magikarp,CEL,Pokémon,Ken Sugimori
cel-7,Flying Pikachu VMAX,CEL,Pokémon,aky CG Works
cel-73,Imposter Professor Oak,CEL,Trainer,Ken Sugimori
cel-76,M Rayquaza-EX,CEL,Pokémon,5ban Graphics
cel-8,Surfing Pikachu V,CEL,Pokémon,aky CG Works
cel-8-dark-gyarados,Dark Gyarados,CEL,Pokémon,Kagemaru Himeno
cel-86,Rocket's Admin.,CEL,Trainer,Ken Sugimori
cel-88,Mew ex,CEL,Pokémon,Ryo Ueda
cel-9,Surfing Pikachu VMAX,CEL,Pokémon,aky CG Works
cel-9-team-magma-s-groudon,Team Magma's Groudon,CEL,Pokémon,Kazuo Yazawa
cel-93,Gardevoir ex δ,CEL,Pokémon,Masahiko Ishii
cel-97,Xerneas-EX,CEL,Pokémon,5ban Graphics
celhs-107,Donphan,CEL HS,Pokémon,Kent Kanetsuna
celsv-145,Garchomp [C] LV.X,CEL SV,Pokémon,Shizurow
evo-1,Venusaur-EX,EVO,Pokémon,Eske Yoshinob
evo-10,Charmeleon,EVO,Pokémon,Mitsuhiro Arita
evo-100,M Venusaur-EX,EVO,Pokémon,5ban Graphics
evo-101,M Charizard-EX,EVO,Pokémon,5ban Graphics
evo-102,M Blastoise-EX,EVO,Pokémon,5ban Graphics
evo-103,Mewtwo-EX,EVO,Pokémon,Ryo Ueda
evo-104,Pidgeot-EX,EVO,Pokémon,Ryo Ueda
evo-105,M Pidgeot-EX,EVO,Pokémon,5ban Graphics
evo-106,Dragonite-EX,EVO,Pokémon,Ryo Ueda
evo-107,Brock's Grit,EVO,Trainer,Hitoshi Ariga
evo-108,Misty's Determination,EVO,Trainer,Megumi Mizutani
evo-109,ナッシー[Exeggutor],EVO,Pokémon,Dr.Ooyama
evo-11,Charizard,EVO,Pokémon,Mitsuhiro Arita
evo-110,Flying Pikachu,EVO,Pokémon,Toshinao Aoki
evo-111,Surfing Pikachu,EVO,Pokémon,Toshinao Aoki
evo-112,Imakuni?'s Doduo,EVO,Pokémon,Imakuni?
evo-113,Here Comes Team Rocket!,EVO,Trainer,Ken Sugimori
evo-12,Charizard-EX,EVO,Pokémon,PLANETA
evo-13,M Charizard-EX,EVO,Pokémon,5ban Graphics
evo-14,Vulpix,EVO,Pokémon,Ken Sugimori
evo-15,Ninetales,EVO,Pokémon,Ken Sugimori
evo-16,Ninetales BREAK,EVO,Pokémon,5ban Graphics
evo-17,Growlithe,EVO,Pokémon,Ken Sugimori
evo-18,Arcanine,EVO,Pokémon,Ken Sugimori
evo-19,Ponyta,EVO,Pokémon,Ken Sugimori
evo-2,M Venusaur-EX,EVO,Pokémon,5ban Graphics
evo-20,Magmar,EVO,Pokémon,Ken Sugimori
evo-21,Blastoise-EX,EVO,Pokémon,Eske Yoshinob
evo-22,M Blastoise-EX,EVO,Pokémon,5ban Graphics
evo-23,Poliwag,EVO,Pokémon,Ken Sugimori
evo-24,Poliwhirl,EVO,Pokémon,Ken Sugimori
evo-25,Poliwrath,EVO,Pokémon,Ken Sugimori
evo-26,Slowbro-EX,EVO,Pokémon,Ayaka Yoshida
evo-27,M Slowbro-EX,EVO,Pokémon,5ban Graphics
evo-28,Seel,EVO,Pokémon,Ken Sugimori
evo-29,Dewgong,EVO,Pokémon,Mitsuhiro Arita
evo-3,Caterpie,EVO,Pokémon,Ken Sugimori
evo-30,Staryu,EVO,Pokémon,Keiji Kinebuchi
evo-31,Starmie,EVO,Pokémon,Keiji Kinebuchi
evo-32,Starmie BREAK,EVO,Pokémon,5ban Graphics
evo-33,Magikarp,EVO,Pokémon,Mitsuhiro Arita
evo-34,Gyarados,EVO,Pokémon,Mitsuhiro Arita
evo-35,Pikachu,EVO,Pokémon,Mitsuhiro Arita
evo-36,Raichu,EVO,Pokémon,Ken Sugimori
evo-37,Magnemite,EVO,Pokémon,Keiji Kinebuchi
evo-38,Magneton,EVO,Pokémon,Keiji Kinebuchi
evo-39,Voltorb,EVO,Pokémon,Keiji Kinebuchi
evo-4,Metapod,EVO,Pokémon,Ken Sugimori
evo-40,Electrode,EVO,Pokémon,Keiji Kinebuchi
evo-41,Electabuzz,EVO,Pokémon,Ken Sugimori
evo-42,Zapdos,EVO,Pokémon,Ken Sugimori
evo-43,Nidoran ♂,EVO,Pokémon,Ken Sugimori
evo-44,Nidorino,EVO,Pokémon,Mitsuhiro Arita
evo-45,Nidoking,EVO,Pokémon,Ken Sugimori
evo-46,Nidoking BREAK,EVO,Pokémon,5ban Graphics
evo-47,Gastly,EVO,Pokémon,Keiji Kinebuchi
evo-48,Haunter,EVO,Pokémon,Keiji Kinebuchi
evo-49,Drowzee,EVO,Pokémon,Ken Sugimori
evo-5,Weedle,EVO,Pokémon,Mitsuhiro Arita
evo-50,Koffing,EVO,Pokémon,Mitsuhiro Arita
evo-51,Mewtwo,EVO,Pokémon,Ken Sugimori
evo-52,Mewtwo-EX,EVO,Pokémon,Eske Yoshinob
evo-53,Mew,EVO,Pokémon,Ken Sugimori
evo-54,Sandshrew,EVO,Pokémon,Ken Sugimori
evo-55,Diglett,EVO,Pokémon,Keiji Kinebuchi
evo-56,Dugtrio,EVO,Pokémon,Keiji Kinebuchi
evo-57,Machop,EVO,Pokémon,Mitsuhiro Arita
evo-58,Machoke,EVO,Pokémon,Ken Sugimori
evo-59,Machamp,EVO,Pokémon,Ken Sugimori
evo-6,Kakuna,EVO,Pokémon,Keiji Kinebuchi
evo-60,Machamp BREAK,EVO,Pokémon,5ban Graphics
evo-61,Onix,EVO,Pokémon,Ken Sugimori
evo-62,Hitmonchan,EVO,Pokémon,Ken Sugimori
evo-63,Clefairy,EVO,Pokémon,Ken Sugimori
evo-64,Pidgeot-EX,EVO,Pokémon,Eske Yoshinob
evo-65,M Pidgeot-EX,EVO,Pokémon,5ban Graphics
evo-66,Rattata,EVO,Pokémon,Mitsuhiro Arita
evo-67,Raticate,EVO,Pokémon,Ken Sugimori
evo-68,Farfetch'd,EVO,Pokémon,Ken Sugimori
evo-69,Doduo,EVO,Pokémon,Mitsuhiro Arita
evo-7,Beedrill,EVO,Pokémon,Ken Sugimori
evo-70,Chansey,EVO,Pokémon,Ken Sugimori
evo-71,Porygon,EVO,Pokémon,Tomoaki Imakuni
evo-72,Dragonite-EX,EVO,Pokémon,Ayaka Yoshida
evo-73,Blastoise Spirit Link,EVO,Trainer,5ban Graphics
evo-74,Brock's Grit,EVO,Trainer,Ken Sugimori
evo-75,Charizard Spirit Link,EVO,Trainer,5ban Graphics
evo-76,Devolution Spray,EVO,Trainer,Keiji Kinebuchi
evo-77,Energy Retrieval,EVO,Trainer,Keiji Kinebuchi
evo-78,Full Heal,EVO,Trainer,Keiji Kinebuchi
evo-79,Maintenance,EVO,Trainer,Keiji Kinebuchi
evo-8,Tangela,EVO,Pokémon,Mitsuhiro Arita
evo-80,Misty's Determination,EVO,Trainer,Ken Sugimori
evo-81,Pidgeot Spirit Link,EVO,Trainer,5ban Graphics
evo-82,Pokédex,EVO,Trainer,Keiji Kinebuchi
evo-83,Potion,EVO,Trainer,Keiji Kinebuchi
evo-84,Professor Oak's Hint,EVO,Trainer,Ken Sugimori
evo-85,Revive,EVO,Trainer,Keiji Kinebuchi
evo-86,Slowbro Spirit Link,EVO,Trainer,5ban Graphics
evo-87,Super Potion,EVO,Trainer,Keiji Kinebuchi
evo-88,Switch,EVO,Trainer,Keiji Kinebuchi
evo-89,Venusaur Spirit Link,EVO,Trainer,5ban Graphics
evo-9,Charmander,EVO,Pokémon,Mitsuhiro Arita
evo-90,Double Colorless Energy,EVO,Energy,Keiji Kinebuchi
evo-91,Grass Energy,EVO,Energy,
evo-92,Fire Energy,EVO,Energy,
evo-93,Water Energy,EVO,Energy,
evo-94,Lightning Energy,EVO,Energy,
evo-95,Psychic Energy,EVO,Energy,
evo-96,Fighting Energy,EVO,Energy,
evo-97,Darkness Energy,EVO,Energy,
evo-98,Metal Energy,EVO,Energy,
evo-99,Fairy Energy,EVO,Energy,
fo-1,Aerodactyl,FO,Pokémon,Kagemaru Himeno
fo-10,Lapras,FO,Pokémon,Ken Sugimori
fo-11,Magneton,FO,Pokémon,Ken Sugimori
fo-12,Moltres,FO,Pokémon,Mitsuhiro Arita
fo-13,Muk,FO,Pokémon,Mitsuhiro Arita
fo-14,Raichu,FO,Pokémon,Mitsuhiro Arita
fo-15,Zapdos,FO,Pokémon,Mitsuhiro Arita
fo-16,Aerodactyl,FO,Pokémon,Kagemaru Himeno
fo-17,Articuno,FO,Pokémon,Mitsuhiro Arita
fo-18,Ditto,FO,Pokémon,Keiji Kinebuchi
fo-19,Dragonite,FO,Pokémon,Kagemaru Himeno
fo-2,Articuno,FO,Pokémon,Mitsuhiro Arita
fo-20,Gengar,FO,Pokémon,Keiji Kinebuchi
fo-21,Haunter,FO,Pokémon,Ken Sugimori
fo-22,Hitmonlee,FO,Pokémon,Ken Sugimori
fo-23,Hypno,FO,Pokémon,Ken Sugimori
fo-24,Kabutops,FO,Pokémon,Ken Sugimori
fo-25,Lapras,FO,Pokémon,Ken Sugimori
fo-26,Magneton,FO,Pokémon,Ken Sugimori
fo-27,Moltres,FO,Pokémon,Mitsuhiro Arita
fo-28,Muk,FO,Pokémon,Mitsuhiro Arita
fo-29,Raichu,FO,Pokémon,Mitsuhiro Arita
fo-3,Ditto,FO,Pokémon,Keiji Kinebuchi
fo-30,Zapdos,FO,Pokémon,Mitsuhiro Arita
fo-31,Arbok,FO,Pokémon,Ken Sugimori
fo-32,Cloyster,FO,Pokémon,Kagemaru Himeno
fo-33,Gastly,FO,Pokémon,Mitsuhiro Arita
fo-34,Golbat,FO,Pokémon,Kagemaru Himeno
fo-35,Golduck,FO,Pokémon,Kagemaru Himeno
fo-36,Golem,FO,Pokémon,Kagemaru Himeno
fo-37,Graveler,FO,Pokémon,Kagemaru Himeno
fo-38,Kingler,FO,Pokémon,Kagemaru Himeno
fo-39,Magmar,FO,Pokémon,Mitsuhiro Arita
fo-4,Dragonite,FO,Pokémon,Kagemaru Himeno
fo-40,Omastar,FO,Pokémon,Ken Sugimori
fo-41,Sandslash,FO,Pokémon,Ken Sugimori
fo-42,Seadra,FO,Pokémon,Ken Sugimori
fo-43,Slowbro,FO,Pokémon,Kagemaru Himeno
fo-44,Tentacruel,FO,Pokémon,Kagemaru Himeno
fo-45,Weezing,FO,Pokémon,Mitsuhiro Arita
fo-46,Ekans,FO,Pokémon,Kagemaru Himeno
fo-47,Geodude,FO,Pokémon,Kagemaru Himeno
fo-48,Grimer,FO,Pokémon,Mitsuhiro Arita
fo-49,Horsea,FO,Pokémon,Mitsuhiro Arita
fo-5,Gengar,FO,Pokémon,Keiji Kinebuchi
fo-50,Kabuto,FO,Pokémon,Ken Sugimori
fo-51,Krabby,FO,Pokémon,Mitsuhiro Arita
fo-52,Omanyte,FO,Pokémon,Kagemaru Himeno
fo-53,Psyduck,FO,Pokémon,Kagemaru Himeno
fo-54,Shellder,FO,Pokémon,Mitsuhiro Arita
fo-55,Slowpoke,FO,Pokémon,Miki Tanaka
fo-56,Tentacool,FO,Pokémon,Kagemaru Himeno
fo-57,Zubat,FO,Pokémon,Kagemaru Himeno
fo-58,Mr. Fuji,FO,Trainer,Ken Sugimori
fo-59,Energy Search,FO,Trainer,Keiji Kinebuchi
fo-6,Haunter,FO,Pokémon,Ken Sugimori
fo-60,Gambler,FO,Trainer,Keiji Kinebuchi
fo-61,Recycle,FO,Trainer,Keiji Kinebuchi
fo-62,Mysterious Fossil,FO,Trainer,Keiji Kinebuchi
fo-7,Hitmonlee,FO,Pokémon,Ken Sugimori
fo-8,Hypno,FO,Pokémon,Ken Sugimori
fo-9,Kabutops,FO,Pokémon,Ken Sugimori
gc-1,Blaine's Arcanine,GC,Pokémon,Ken Sugimori
gc-10,Koga's Ditto,GC,Pokémon,Ken Sugimori
gc-100,Blaine,GC,Trainer,Ken Sugimori
gc-101,Brock's Protection,GC,Trainer,Ken Sugimori
gc-102,Chaos Gym,GC,Trainer,Keiji Kinebuchi
gc-103,Erika's Kindness,GC,Trainer,Ken Sugimori
gc-104,Giovanni,GC,Trainer,Ken Sugimori
gc-105,Giovanni's Last Resort,GC,Trainer,Ken Sugimori
gc-106,Koga,GC,Trainer,Ken Sugimori
gc-107,Lt. Surge's Secret Plan,GC,Trainer,Ken Sugimori
gc-108,Misty's Wish,GC,Trainer,Ken Sugimori
gc-109,Resistance Gym,GC,Trainer,Keiji Kinebuchi
gc-11,Lt. Surge's Raichu,GC,Pokémon,Ken Sugimori
gc-110,Sabrina,GC,Trainer,Ken Sugimori
gc-111,Blaine's Quiz #2,GC,Trainer,Ken Sugimori
gc-112,Blaine's Quiz #3,GC,Trainer,Ken Sugimori
gc-113,Cinnabar City Gym,GC,Trainer,Keiji Kinebuchi
gc-114,Fuchsia City Gym,GC,Trainer,Keiji Kinebuchi
gc-115,Koga's Ninja Trick,GC,Trainer,Sumiyoshi Kizuki
gc-116,Master Ball,GC,Trainer,Keiji Kinebuchi
gc-117,Max Revive,GC,Trainer,Hikaru Koike
gc-118,Misty's Tears,GC,Trainer,Ken Sugimori
gc-119,Rocket's Minefield Gym,GC,Trainer,Keiji Kinebuchi
gc-12,Misty's Golduck,GC,Pokémon,Ken Sugimori
gc-120,Rocket's Secret Experiment,GC,Trainer,Ken Sugimori
gc-121,Sabrina's Psychic Control,GC,Trainer,Ken Sugimori
gc-122,Saffron City Gym,GC,Trainer,Keiji Kinebuchi
gc-123,Viridian City Gym,GC,Trainer,Keiji Kinebuchi
gc-124,Fervor,GC,Trainer,Ken Sugimori
gc-125,Transparent Walls,GC,Trainer,Keiji Kinebuchi
gc-126,Warp Point,GC,Trainer,Keiji Kinebuchi
gc-127,Fighting Energy,GC,Energy,Keiji Kinebuchi
gc-128,Fire Energy,GC,Energy,Keiji Kinebuchi
gc-129,Grass Energy,GC,Energy,Keiji Kinebuchi
gc-13,Misty's Gyarados,GC,Pokémon,Ken Sugimori
gc-130,Lightning Energy,GC,Energy,Keiji Kinebuchi
gc-131,Psychic Energy,GC,,Keiji Kinebuchi
gc-132,Water Energy,GC,Energy,Keiji Kinebuchi
gc-14,Rocket's Mewtwo,GC,Pokémon,Shin-ichi Yoshida
gc-15,Rocket's Zapdos,GC,,Shin-ichi Yoshida
gc-16,Sabrina's Alakazam,GC,Pokémon,Ken Sugimori
gc-17,Blaine,GC,Trainer,Ken Sugimori
gc-18,Giovanni,GC,Trainer,Ken Sugimori
gc-19,Koga,GC,Trainer,Ken Sugimori
gc-2,Blaine's Charizard,GC,Pokémon,Ken Sugimori
gc-20,Sabrina,GC,Trainer,Ken Sugimori
gc-21,Blaine's Ninetales,GC,Pokémon,Ken Sugimori
gc-22,Brock's Dugtrio,GC,Pokémon,Ken Sugimori
gc-23,Giovanni's Nidoqueen,GC,Pokémon,Ken Sugimori
gc-24,Giovanni's Pinsir,GC,Pokémon,Ken Sugimori
gc-25,Koga's Arbok,GC,Pokémon,Ken Sugimori
gc-26,Koga's Muk,GC,Pokémon,Ken Sugimori
gc-27,Koga's Pidgeotto,GC,Pokémon,Ken Sugimori
gc-28,Lt. Surge's Jolteon,GC,Pokémon,Ken Sugimori
gc-29,Sabrina's Gengar,GC,Pokémon,Ken Sugimori
gc-3,Brock's Ninetales,GC,,Ken Sugimori
gc-30,Sabrina's Golduck,GC,Pokémon,Ken Sugimori
gc-31,Blaine's Charmeleon,GC,Pokémon,Ken Sugimori
gc-32,Blaine's Dodrio,GC,Pokémon,Ken Sugimori
gc-33,Blaine's Rapidash,GC,Pokémon,Ken Sugimori
gc-35,Brock's Primeape,GC,Pokémon,Ken Sugimori
gc-36,Brock's Sandslash,GC,Pokémon,Atsuko Nishida
gc-37,Brock's Vulpix,GC,Pokémon,Ken Sugimori
gc-38,Erika's Bellsprout,GC,Pokémon,Ken Sugimori
gc-39,Erika's Bulbasaur,GC,Pokémon,Ken Sugimori
gc-4,Erika's Venusaur,GC,Pokémon,Ken Sugimori
gc-40,Erika's Clefairy,GC,Pokémon,Atsuko Nishida
gc-41,Erika's Ivysaur,GC,Pokémon,Ken Sugimori
gc-42,Giovanni's Machoke,GC,Pokémon,Ken Sugimori
gc-43,Giovanni's Meowth,GC,Pokémon,Atsuko Nishida
gc-44,Giovanni's Nidorina,GC,Pokémon,Ken Sugimori
gc-45,Giovanni's Nidorino,GC,Pokémon,Ken Sugimori
gc-46,Koga's Golbat,GC,Pokémon,Ken Sugimori
gc-47,Koga's Kakuna,GC,Pokémon,Ken Sugimori
gc-48,Koga's Koffing,GC,Pokémon,Ken Sugimori
gc-49,Koga's Pidgey,GC,Pokémon,Atsuko Nishida
gc-5,Giovanni's Gyarados,GC,Pokémon,Ken Sugimori
gc-50,Koga's Weezing,GC,Pokémon,Ken Sugimori
gc-51,Lt. Surge's Eevee,GC,Pokémon,Ken Sugimori
gc-52,Lt. Surge's Electrode,GC,Pokémon,Ken Sugimori
gc-53,Lt. Surge's Raticate,GC,Pokémon,Ken Sugimori
gc-54,Misty's Dewgong,GC,Pokémon,Ken Sugimori
gc-55,Sabrina's Haunter,GC,Pokémon,Ken Sugimori
gc-56,Sabrina's Hypno,GC,,Ken Sugimori
gc-57,Sabrina's Jynx,GC,Pokémon,Atsuko Nishida
gc-58,Sabrina's Kadabra,GC,Pokémon,Ken Sugimori
gc-59,Sabrina's Mr. Mime,GC,Pokémon,Ken Sugimori
gc-6,Giovanni's Machamp,GC,Pokémon,Ken Sugimori
gc-60,Blaine's Charmander,GC,Pokémon,Ken Sugimori
gc-61,Blaine's Doduo,GC,Pokémon,Ken Sugimori
gc-62,Blaine's Growlithe,GC,Pokémon,Ken Sugimori
gc-63,Blaine's Mankey,GC,Pokémon,Atsuko Nishida
gc-64,Blaine's Ponyta,GC,Pokémon,Ken Sugimori
gc-65,Blaine's Rhyhorn,GC,Pokémon,Ken Sugimori
gc-66,Blaine's Vulpix,GC,Pokémon,Ken Sugimori
gc-67,Brock's Diglett,GC,Pokémon,Ken Sugimori
gc-68,Brock's Geodude,GC,Pokémon,Ken Sugimori
gc-69,Erika's Jigglypuff,GC,Pokémon,Ken Sugimori
gc-7,Giovanni's Nidoking,GC,Pokémon,Ken Sugimori
gc-70,Erika's Oddish,GC,Pokémon,Ken Sugimori
gc-71,Erika's Paras,GC,Pokémon,Ken Sugimori
gc-72,Giovanni's Machop,GC,Pokémon,Ken Sugimori
gc-73,Giovanni's Magikarp,GC,Pokémon,Ken Sugimori
gc-74,Giovanni's Meowth,GC,Pokémon,Ken Sugimori
gc-75,Giovanni's Nidoran ♀,GC,Pokémon,Ken Sugimori
